"tip.label","mean_ED","median_ED","sd_ED","mean_rank","median_rank","top20_count","top20_frequency","species"
"Potamotrygon_magdalenae",17.1530441840872,15.5950528346577,6.4544148576121,936.56,963.5,0,0,"Potamotrygon magdalenae"
"Potamotrygon_brachyura",17.0002558290019,16.1793253438487,6.02624903523573,936.72,985,0,0,"Potamotrygon brachyura"
"Dipturus_apricus",17.2822653990379,15.4170153562011,8.58870673896592,936.92,1012.5,0,0,"Dipturus apricus"
"Rajella_fuliginea",17.5580174702367,16.3919273484248,8.01762350770655,937.79,974.5,0,0,"Rajella fuliginea"
"Potamotrygon_tigrina",17.0410478888133,16.1750618926496,5.62299167064795,939.15,954.5,0,0,"Potamotrygon tigrina"
"Dipturus_wengi",17.3769523584049,15.3691404203668,8.65628275391936,939.48,1010.5,0,0,"Dipturus wengi"
"Potamotrygon_signata",16.9033888470522,16.4907343670385,5.64900006574456,940.91,983.5,0,0,"Potamotrygon signata"
"Rajella_ravidula",17.3393689411933,16.6819660230654,7.29383921236024,941.11,970,0,0,"Rajella ravidula"
"Cephaloscyllium_hiscosellum",16.8414777161258,16.6715153433246,3.15931007388268,943.4,947.5,0,0,"Cephaloscyllium hiscosellum"
"Dipturus_oculus",16.8777135002266,14.8129174901398,7.97649041482704,946.48,978.5,0,0,"Dipturus oculus"
"Etmopterus_princeps",17.0076247654454,17.4844341309253,3.37992927789005,946.9,943.5,0,0,"Etmopterus princeps"
"Rajella_challengeri",17.0069819572439,16.3000167692804,6.98639144358882,947.78,1015,0,0,"Rajella challengeri"
"Dipturus_garricki",16.774930757554,15.5433760464249,7.13838104081264,948.28,984.5,0,0,"Dipturus garricki"
"Cephaloscyllium_albipinnum",16.7006662752458,16.6013064074131,3.17284050270255,949.52,951.5,0,0,"Cephaloscyllium albipinnum"
"Pavoraja_umbrosa",16.9311116153517,16.5591582973361,6.17735947931194,950.07,999,0,0,"Pavoraja umbrosa"
"Dipturus_flavirostris",16.5420188752874,15.1177490608293,7.63763664339961,950.73,1039.5,0,0,"Dipturus flavirostris"
"Etmopterus_spinax",16.9456077617736,17.4131292241003,3.52955445365231,950.78,956,0,0,"Etmopterus spinax"
"Dipturus_grahami",17.041408640586,15.5230477296619,9.2479418473358,950.93,1031,0,0,"Dipturus grahami"
"Dipturus_endeavouri",16.4749702538575,14.8137760652327,7.86663213655349,958.68,1030.5,0,0,"Dipturus endeavouri"
"Potamotrygon_boesemani",16.1316761911897,14.8631134069037,5.13830041949329,962.22,1033.5,0,0,"Potamotrygon boesemani"
"Dipturus_queenslandicus",16.405406070383,14.1516716525966,8.26182752174321,962.62,1030,0,0,"Dipturus queenslandicus"
"Potamotrygon_henlei",16.2195616554686,16.3695273523502,4.1372044345797,963.07,951,0,0,"Potamotrygon henlei"
"Dipturus_wuhanlingi",16.3840558234405,15.1693255494427,7.36563258451987,964.46,1027,0,0,"Dipturus wuhanlingi"
"Urolophus_cruciatus",16.2793155341516,16.0899552543408,3.12547600125139,966.24,988.5,0,0,"Urolophus cruciatus"
"Urolophus_sufflavus",16.2836153051816,16.0899552543408,3.11825781900482,966.37,988.5,0,0,"Urolophus sufflavus"
"Dipturus_lanceorostratus",16.2945200250416,14.375173998695,8.43907173869981,966.75,1050.5,0,0,"Dipturus lanceorostratus"
"Dipturus_nidarosiensis",16.1110589535832,15.2835851271224,7.30488154972636,967.75,1035.5,0,0,"Dipturus nidarosiensis"
"Spiniraja_whitleyi",16.341722916209,14.0292958728254,8.80665071299513,969.09,1043.5,0,0,"Spiniraja whitleyi"
"Bathyraja_aleutica",15.6670636532281,14.7373052036124,5.6490591537138,970.1,1034,0,0,"Bathyraja aleutica"
"Dipturus_falloargus",16.209601531835,14.1204170500601,7.50605326227984,971.95,1029,0,0,"Dipturus falloargus"
