"tip.label","mean_ED","median_ED","sd_ED","mean_rank","top20_count","top20_frequency","mean_EH_66","median_EH_66","sd_EH_66","mean_rank_66","median_rank_66","top20_count_66","top20_frequency_66","mean_EH_145","median_EH_145","sd_EH_145","mean_rank_145","median_rank_145","top20_count_145","top20_frequency_145","species","rank_change_66_vs_ED","rank_change_145_vs_ED","rank_change_145_vs_66"
"Harriotta_raleighana",52.6475325212682,50.7559813723654,6.31802279089488,157.21,0,0,11.7099746971064,11.7825564638913,1.21949430499364,82.62,86,3,0.03,3.4225967921343,3.37969289455564,0.725143220133474,47.68,43.5,18,0.18,"Harriotta raleighana",-74.59,-109.53,-34.94
"Harriotta_haeckeli",52.6475325212682,50.7559813723654,6.31802279089488,158.21,0,0,11.6443779318072,11.4800015260798,1.27925294842122,84.41,86,1,0.01,3.49695311495771,3.45797981415643,0.739898302390957,46.86,43.5,22,0.22,"Harriotta haeckeli",-73.8,-111.35,-37.55
"Sphyrna_mokarran",51.2344905500748,52.4086677927931,7.74301089655218,159.74,0,0,2.17043283577279,2.09691828159548,1.28712227729051,695.27,708,0,0,0.278608158172049,0.280017970009431,0.0843875736548049,828.75,823.5,0,0,"Sphyrna mokarran",535.53,669.01,133.48
"Cirrhoscyllium_japonicum",57.3808213111433,54.9518313601668,19.2393662210367,159.75,4,0.04,12.2211019167121,11.2797744292643,5.38378098350383,91.47,77,5,0.05,3.68328497916583,3.33732576937421,1.79965887204985,42.84,44,12,0.12,"Cirrhoscyllium japonicum",-68.28,-116.91,-48.63
"Trygonoptera_personata",53.4891679072338,55.5138263605349,10.2994111730744,159.87,0,0,6.709493332968,6.51288709168216,2.02873088940696,198.31,201,0,0,0.445447776207129,0.39908591220533,0.232522630030268,523.78,505,0,0,"Trygonoptera personata",38.44,363.91,325.47
"Pseudoginglymostoma_brevicaudatum",57.1699868456184,53.047482298504,18.0187539286631,160.35,5,0.05,11.8402248669157,10.6255469872112,4.37993184264137,85.67,77.5,1,0.01,2.41876724778723,2.52029169074628,0.986762092685713,77.22,74.5,0,0,"Pseudoginglymostoma brevicaudatum",-74.68,-83.13,-8.45
"Cirrhoscyllium_expolitum",56.2540880203189,53.7332555510608,17.4861887573622,160.8,2,0.02,12.1317646921236,11.1598972462736,4.93529252720786,90.95,73.5,5,0.05,3.5773835651323,3.3950821832895,1.59419021646888,44.1,44,12,0.12,"Cirrhoscyllium expolitum",-69.85,-116.7,-46.85
"Cirrhigaleus_asper",59.8617289663649,67.6098790869185,21.4036275265885,163.67,0,0,8.38107431211075,9.27003617070785,4.91044873325212,239.27,139.5,0,0,1.00093471647831,0.897978040302047,0.698414544129787,298.5,288.5,0,0,"Cirrhigaleus asper",75.6,134.83,59.23
"Rhinochimaera_africana",51.5319112800518,51.2038534594044,5.53821968071988,167.4,0,0,11.1213709854629,10.9525490532309,1.14607192070094,91.67,92,1,0.01,3.26663614273385,3.26532328677949,0.648407089519913,54.34,45.5,21,0.21,"Rhinochimaera africana",-75.73,-113.06,-37.33
"Rhinobatos_penggali",58.324551347309,56.8386691357746,21.2220008759766,169.94,0,0,9.49522271377944,9.13438671633926,5.71547289218832,168.63,149,0,0,1.60726108689729,1.57162893366305,0.919818947212297,170.51,166.5,0,0,"Rhinobatos penggali",-1.31,0.569999999999993,1.88
"Pristiophorus_nudipinnis",54.2455538448516,52.9543488259178,15.9678947718518,171.61,0,0,9.15117383206433,9.3223732880249,3.42393367421069,136.65,130,0,0,2.42506327273744,2.38312249108064,1.15694712495557,86.6,76.5,0,0,"Pristiophorus nudipinnis",-34.96,-85.01,-50.05
